env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015559675,0.0,-0.0,0.0,-0.00015559675,-0.0,0.25695637,0.41322196,0.0,0.0,0.0,0.0,1.0,0.07912937,-10.313864,0.19444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0.71632534,0.0,0.0,1.3827124,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015568388,0.0,-0.0,0.0,-0.00015568388,-0.0,0.2638027,0.44565657,0.0,0.0,0.0,0.0,1.0,0.03956468,-10.201375,0.19444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015541812,0.0,-0.0,0.0,-0.00015541812,-0.0,0.28561372,0.4786142,0.0,0.0,0.0,0.0,1.0,0.0,-10.530909,0.19444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001554445,0.0,-0.0,0.0,-0.0001554445,-0.0,0.2856614,0.4774632,0.0,0.0,0.0,0.0,1.0,0.0,-10.488675,0.19444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001864198,0.0,-0.0,0.0,-0.0001864198,-0.0,0.26103556,0.73921734,0.0,0.0,0.0,0.0,1.0,0.027976453,-7.624506,0.21296297,0.3264724,0.0,0.0,0.0,0.0,0.0,0,12.961944,3.9230917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018510198,0.0,-0.0,0.0,-0.00018510198,-0.0,0.254233,0.73440444,0.0,0.0,0.0,0.0,1.0,0.01978234,-7.700619,0.21296297,0.29022965,0.0,0.0,0.0,0.0,0.0,0,15.2501135,3.7201953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018470114,0.0,-0.0,0.0,-0.00018470114,-0.0,0.30140373,0.68404305,0.0,0.0,0.0,0.0,1.0,0.0,-8.560919,0.2175926,0.21325831,0.0,0.0,0.0,0.0,0.0,0,11.554805,2.4031498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018415325,0.0,-0.0,0.0,-0.00018415325,-0.0,0.27776772,0.65520203,0.0,0.0,0.0,0.0,1.0,0.10467831,-8.364602,0.22222222,0.18531655,0.0,0.0,0.0,0.0,0.0,0,13.761914,0.89402485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001821029,0.0,-0.0,0.0,-0.0001821029,-0.0,0.31571594,0.5686159,0.0,0.0,0.0,0.0,1.0,0.22205634,-6.84248,0.24074075,0.51350754,0.0,0.0,0.0,0.0,0.0,0,6.1883483,0.637577,0.0,0.0,0.5126285,2.9454973,0.0,0.0,0.0,4.962225
1,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017160231,0.0,-0.0,0.0,-0.00017160231,-0.0,0.3074575,0.64069486,0.0,0.0,0.0,0.0,1.0,0.17017418,-6.5563235,0.24074075,0.4142087,0.0,0.0,0.0,0.0,0.0,0,13.6574545,0.51588756,0.0,0.0,0.17364444,3.665149,0.0,0.0,0.0,5.2791567
2,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00018461407,0.0,-0.0,0.0,-0.00018461407,-0.0,0.38482678,0.5867535,0.0,0.0,0.0,0.0,1.0,0.113640904,-8.24896,0.2361111,0.31670862,0.0,0.0,0.0,0.0,0.0,0,11.638026,0.39498004,0.0,0.0,0.0,0.6341678,0.0,0.0,0.0,3.0118785
3,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017788842,0.0,-0.0,0.0,-0.00017788842,-0.0,0.32611638,0.51032376,0.0,0.0,0.0,0.0,1.0,0.18238425,-7.307797,0.24074075,0.34258008,0.0,0.0,0.0,0.0,0.0,0,7.3585954,0.828667,0.0,0.0,0.63225347,2.0393684,0.0,0.0,0.0,4.6733465
0,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015522666,0.0,-0.0,0.0,-0.00015522666,-0.0,0.27289465,0.51447535,0.0,0.0,0.0,0.0,1.0,0.31836703,-3.7034106,0.25462964,0.57472,0.0,0.0,0.0,0.0,0.0,0,8.307757,1.6782618,0.0,0.0,1.1426914,9.515776,4.265212,0.0,0.0,8.807603
1,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015009123,0.0,-0.0,0.0,-0.00015009123,-0.0,0.28479213,0.4780305,0.0,0.0,0.0,0.0,1.0,0.5055169,-4.190101,0.25925925,0.5784442,0.0,0.0,0.0,0.0,0.0,0,8.827998,1.0806204,0.0,0.0,2.8190632,3.66108,1.0695128,0.0,0.0,11.65298
2,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017376417,0.0,-0.0,0.0,-0.00017376417,-0.0,0.33032522,0.447751,0.0,0.0,0.0,0.0,1.0,0.6094145,-5.3840475,0.2685185,0.45589283,0.0,0.0,0.0,0.0,0.0,0,10.584384,1.1031079,0.0,0.0,6.592207,3.2032285,2.4566138,1.7461792,0.0,13.649877
3,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00014023646,0.0,-0.0,0.0,-0.00014023646,-0.0,0.35744813,0.49974877,0.0,0.0,0.0,0.0,1.0,0.3238513,-5.8144712,0.2638889,0.35400534,0.0,0.0,0.0,0.0,0.0,0,9.53804,1.5228156,0.0,0.0,0.101566955,3.4054382,2.950911,0.0,0.0,8.626132
0,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.5333475e-05,0.0,-0.0,0.0,-9.5333475e-05,-0.0,0.28886572,0.44631156,0.0,0.0,0.0,0.0,1.0,0.55320066,-4.1267157,0.2685185,0.64747405,0.0,0.0,0.0,0.0,0.0,0,6.796575,2.5094826,0.0,0.0,0.4545625,2.6863627,0.47150716,0.92497516,0.0,13.213935
1,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.276997e-05,0.0,-0.0,0.0,-9.276997e-05,-0.0,0.24820027,0.4327417,0.0,0.0,0.0,0.0,1.0,0.5435666,-3.620156,0.2685185,0.64325523,0.0,0.0,0.0,0.0,0.0,0,7.2052565,2.8362544,0.0,0.0,0.11945716,2.7023957,0.6789793,0.9108469,0.0,13.344579
2,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00011504121,0.0,-0.0,0.0,-0.00011504121,-0.0,0.31505674,0.41704425,0.0,0.0,0.0,0.0,1.0,0.8609377,-4.329962,0.27314815,0.49062222,0.0,0.0,0.0,0.0,0.0,0,8.465689,3.2333336,0.0,0.0,0.64080137,1.8396491,3.9248357,4.090106,0.0,16.038662
3,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000111856454,0.0,-0.0,0.0,-0.000111856454,-0.0,0.3004199,0.41746488,0.0,0.0,0.0,0.0,1.0,0.6534199,-4.6915812,0.2685185,0.44874135,0.0,0.0,0.0,0.0,0.0,0,8.698861,2.6210456,0.0,0.0,6.0479236,2.0721667,1.2974299,1.6208396,0.0,12.961518
0,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.619469e-05,0.0,-0.0,0.0,-9.619469e-05,-0.0,0.25694388,0.3884037,0.0,0.0,0.0,0.0,1.0,0.6495153,-3.5446222,0.27314815,0.72049916,0.0,0.0,0.0,0.0,0.0,0,6.459996,2.9937909,0.0,0.0,0.482708,2.4714653,1.3422036,5.6159554,0.0,13.769075
1,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.5649615e-05,0.0,-0.0,0.0,-9.5649615e-05,-0.0,0.22769347,0.41303593,0.0,0.0,0.0,0.0,1.0,0.6507192,-3.5871062,0.2685185,0.73035944,0.0,0.0,0.0,0.0,0.0,0,7.1574574,2.579712,0.0,0.0,0.9895811,2.401904,1.6234803,5.088093,0.0,12.587723
2,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00010521373,0.0,-0.0,0.0,-0.00010521373,-0.0,0.2488086,0.3833765,0.0,0.0,0.0,0.0,1.0,0.88558614,-3.5662158,0.27314815,0.53475636,0.0,0.0,0.0,0.0,0.0,0,7.8603106,3.0375822,0.0,0.0,0.59566045,1.7192695,4.1356487,7.0572615,0.0,16.687466
3,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.175768e-05,0.0,-0.0,0.0,-9.175768e-05,-0.0,0.24130511,0.31031764,0.0,0.0,0.0,0.0,1.0,0.89503706,-3.57942,0.2685185,0.55603284,0.0,0.0,0.0,0.0,0.0,0,7.3278904,2.4744236,0.0,0.0,2.0517712,1.568066,1.041621,4.873557,0.0,13.915063
0,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.320715e-05,0.0,-0.0,0.0,-7.320715e-05,-0.0,0.2562942,0.39800993,0.0,0.0,0.0,0.0,1.0,0.6240097,-3.6855192,0.2777778,0.7578484,0.0,0.0,0.0,1.0,0.0,0,6.3149033,4.9053507,0.0,0.0,0.3143932,2.914292,1.3065318,5.7900243,0.0,13.459937
1,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.934465e-05,0.0,-0.0,0.0,-6.934465e-05,-0.0,0.24355277,0.397998,0.0,0.0,0.0,0.0,1.0,0.5507192,-3.6291637,0.27314815,0.7483877,0.0,0.0,0.0,1.0,0.0,0,4.1961365,3.4758778,0.0,0.0,2.7388117,2.6265867,1.3437682,7.2231503,0.0,15.494802
2,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-8.418165e-05,0.0,-0.0,0.0,-8.418165e-05,-0.0,0.26077572,0.38470516,0.0,0.0,0.0,0.0,1.0,0.7192771,-3.6244812,0.27314815,0.54057145,0.0,0.0,0.0,1.0,0.0,0,5.3304524,3.5022264,0.0,0.0,0.20116353,1.1695008,4.1886992,7.097089,0.0,17.340752
3,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.187072e-05,0.0,-0.0,0.0,-7.187072e-05,-0.0,0.24018846,0.34615567,0.0,0.0,0.0,0.0,1.0,0.7013713,-3.5303543,0.2685185,0.5920394,0.0,0.0,0.0,1.0,0.0,0,5.2260933,2.6966722,0.0,0.0,1.014996,1.9092185,3.074425,7.2337937,0.0,16.067715
0,7,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.7285546e-05,0.0,-0.0,0.0,-6.7285546e-05,-0.0,0.26974604,0.4182544,0.0,0.0,0.0,0.0,1.0,0.6431576,-3.6113756,0.2777778,0.8008596,0.0,0.0,0.0,1.0,0.0,0,3.605734,3.7776453,0.0,0.0,2.3834405,2.3080559,3.978764,6.62195,0.0,15.068213
1,7,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.056866e-05,0.0,-0.0,0.0,-6.056866e-05,-0.0,0.20156242,0.46051043,0.0,0.0,0.0,0.0,1.0,0.61770636,-3.4898686,0.2777778,0.82693964,0.0,0.0,0.0,1.0,0.0,0,4.0071955,2.8290498,0.0,0.0,9.644124,0.0,3.1129248,4.2962947,0.0,15.2147455
2,7,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.511195e-05,0.0,-0.0,0.0,-6.511195e-05,-0.0,0.17721784,0.50545263,0.0,0.0,0.0,0.0,1.0,0.6980154,-3.582161,0.28703704,0.68222964,0.0,0.0,0.0,1.0,0.0,0,0.0,2.5244727,0.0,0.0,6.299901,0.0,3.5909896,4.732334,0.0,17.212515
3,7,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.1007766e-05,0.0,-0.0,0.0,-6.1007766e-05,-0.0,0.2722135,0.37357312,0.0,0.0,0.0,0.0,1.0,0.5828266,-3.6823573,0.2685185,0.63718677,0.0,0.0,0.0,1.0,0.0,0,3.9105117,6.3097706,0.0,0.0,1.2812995,1.2401348,5.0460777,6.4075403,0.0,17.02305
0,8,9.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.026124e-05,0.0,-0.0,0.0,-6.026124e-05,-0.0,0.20482484,0.47937584,0.0,0.0,0.0,0.0,1.0,0.6895542,-3.5591164,0.28703704,0.88479435,0.0,0.0,0.0,1.0,0.0,0,2.35154,3.7511752,0.0,0.0,4.324128,0.0,3.7389374,4.5559554,0.0,14.407788
1,8,9.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.1500745e-05,0.0,-0.0,0.0,-4.1500745e-05,-0.0,0.21106713,0.57812876,0.0,0.0,0.0,0.0,1.0,1.1087111,-3.5668192,0.29166666,0.9491887,0.0,0.0,0.0,1.0,0.0,0,1.4464308,3.7575438,0.0,0.0,9.847966,0.0,2.4802506,4.176165,3.3149195,12.679912
2,8,9.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.4222404e-05,0.0,-0.0,0.0,-5.4222404e-05,-0.0,0.2026895,0.59023434,0.0,0.0,0.0,0.0,1.0,1.3619998,-3.5199625,0.29166666,0.77151227,0.0,0.0,0.0,1.0,0.0,0,0.0478436,3.2302907,0.0,0.0,8.95621,0.0,2.8818355,3.857112,3.8291626,14.3974695
3,8,9.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.1193274e-05,0.0,-0.0,0.0,-5.1193274e-05,-0.0,0.27204397,0.50702167,0.0,0.0,0.0,0.0,1.0,0.71161914,-3.5634134,0.2777778,0.7747315,0.0,0.0,0.0,1.0,0.0,0,2.2391295,4.207956,0.0,0.0,6.2744555,2.8168943,4.041486,5.5290055,0.0,13.144598
0,9,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.6779423e-05,0.0,-0.0,0.0,-5.6779423e-05,-0.0,0.21645315,0.5689748,0.0,0.0,0.0,0.0,1.0,1.071006,-3.5774372,0.29166666,0.9744308,0.0,0.0,0.0,1.0,0.0,0,0.0,3.0922365,0.0,0.0,9.443681,0.0,4.197667,5.032476,0.3170443,14.600934
1,9,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.88123e-05,0.0,-0.0,0.0,-4.88123e-05,-0.0,0.1944486,0.5777378,0.0,0.0,0.0,0.0,1.0,1.0296462,-3.4878635,0.29166666,0.9544556,0.0,0.0,0.0,1.0,0.0,0,0.0,5.474892,0.0,0.0,8.822224,5.0021596,4.3688707,4.986651,1.2027117,13.259829
2,9,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.8431215e-05,0.0,-0.0,0.0,-4.8431215e-05,-0.0,0.19759275,0.58997315,0.0,0.0,0.0,0.0,1.0,1.201219,-3.508685,0.29166666,0.7906617,0.0,0.0,0.0,1.0,0.0,0,0.0,3.6678088,0.0,0.0,13.262077,2.6903455,5.947938,4.865391,1.9210765,13.558304
3,9,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.3101725e-05,0.0,-0.0,0.0,-6.3101725e-05,-0.0,0.22188984,0.56788707,0.0,0.0,0.0,0.0,1.0,1.0728315,-3.708219,0.2824074,0.90324354,0.0,0.0,0.0,1.0,0.0,0,0.0,3.5219388,0.0,0.0,7.355785,0.0,5.3873916,5.0236535,0.5089936,10.370619
0,10,11.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,-6.1729676e-05,0.0,-0.0,0.0,-6.1729676e-05,-0.0,0.2911629,0.59293574,0.0,0.0,0.0,0.0,1.0,1.8635113,-3.5226922,0.29166666,1.1073505,0.0,0.0,0.0,1.0,0.0,0,0.0,4.4266453,0.0,0.0,15.668894,7.800806,2.6342332,0.98725533,0.0,6.5048423
1,10,11.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,-5.305636e-05,0.0,-0.0,0.0,-5.305636e-05,-0.0,0.2981119,0.56729245,0.0,0.09691328,0.0,0.055952907,1.0,1.8972327,-3.9719186,0.29166666,1.151179,0.0,0.0,0.0,1.0,0.0,0,0.0,5.169402,0.0,0.0,19.191414,7.3615527,1.907615,1.2722402,0.0,6.8128543
2,10,11.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.6129888e-05,0.0,-0.0,0.0,-4.6129888e-05,-0.0,0.31424332,0.62362385,0.0,0.1046783,0.0,0.07912936,1.0,4.366055,-3.921222,0.29166666,0.9247323,0.0,0.0,0.0,1.0,0.0,0,0.0,1.9897511,3.5617852,0.0,15.094848,5.733993,4.0260053,1.1746438,0.0,7.706873
3,10,11.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,-5.7063757e-05,0.0,-0.0,0.0,-5.7063757e-05,-0.0,0.2827583,0.58135706,0.0,0.055952907,0.0,0.09691328,1.0,1.4794903,-4.020446,0.2824074,1.0699756,0.0,0.0,0.0,1.0,0.0,0,0.0,4.9912086,0.0,0.0,15.287077,10.779852,3.9826221,1.2428737,0.61327577,7.2054114
0,11,12.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.032778e-05,0.0,-0.0,0.0,-4.032778e-05,-0.0,0.31437463,0.65131354,0.15180242,0.5218944,0.12798397,0.54822487,1.0,1.857621,-3.6070635,0.29166666,1.2114875,0.0,0.0,0.0,1.0,0.0,0,0.20912668,1.9636625,0.0,0.0,15.966275,5.335067,3.0764494,1.6920338,1.3103547,5.34118
