env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.935884e-05,0.0,-0.0,0.0,-7.935884e-05,-0.0,0.28299335,0.41122323,0.0,0.0,0.0,0.0,1.0,0.17017418,-10.395185,0.19907407,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9207582,0.0,0.0,2.9670892,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.906757e-05,0.0,-0.0,0.0,-7.906757e-05,-0.0,0.3126707,0.52575934,0.0,0.0,0.0,0.0,1.0,0.01978234,-10.295861,0.2037037,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.996854e-05,0.0,-0.0,0.0,-7.996854e-05,-0.0,0.32527223,0.49438685,0.0,0.0,0.0,0.0,1.0,0.04845664,-10.4241905,0.2037037,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.21715094,0.47322506,0.0,0.0,0.0,0.0,0.0
3,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.987749e-05,0.0,-0.0,0.0,-7.987749e-05,-0.0,0.33828673,0.5515928,0.0,0.0,0.0,0.0,1.0,0.04845664,-10.378978,0.2175926,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0696627,0.54977536,0.0,0.0,0.0,0.0,0.0
0,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013739638,0.0,-0.0,0.0,-0.00013739638,-0.0,0.43332464,0.65478563,0.0,0.0,0.0,0.0,1.0,0.044234656,-9.485748,0.2175926,0.26481825,0.0,0.0,0.0,0.0,0.0,0,3.8008094,1.653052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00012414124,0.0,-0.0,0.0,-0.00012414124,-0.0,0.44688618,0.6812432,0.0,0.0,0.0,0.0,1.0,0.0,-9.785442,0.22222222,0.18383509,0.0,0.0,0.0,0.0,0.0,0,10.678656,0.59539676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013146533,0.0,-0.0,0.0,-0.00013146533,-0.0,0.4755661,0.5783367,0.0,0.0,0.0,0.0,1.0,0.1297215,-10.179619,0.2175926,0.15525323,0.0,0.0,0.0,0.0,0.0,0,6.489142,0.101439774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00010631045,0.0,-0.0,0.0,-0.00010631045,-0.0,0.45889822,0.6393589,0.0,0.0,0.0,0.0,1.0,0.03426402,-10.157373,0.22685185,0.11875069,0.0,0.0,0.0,0.0,0.0,0,4.7473927,0.2557749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.000196673,0.0,-0.0,0.0,-0.000196673,-0.0,0.36018044,0.51014155,0.0,0.0,0.0,0.0,1.0,0.2719625,-6.8418746,0.2361111,0.4112885,0.0,0.0,0.0,0.0,0.0,0,4.2814674,2.0380747,0.0,0.6996582,2.5635114,0.0,0.0,0.0,0.0,5.7320714
1,2,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00021396895,0.0,-0.0,0.0,-0.00021396895,-0.0,0.3333943,0.45817757,0.0,0.0,0.0,0.0,1.0,0.4063823,-7.022786,0.24074075,0.4149913,0.0,0.0,0.0,0.0,0.0,0,2.72063,1.7565187,0.0,0.29665676,1.2454878,0.0,0.0,0.0,0.0,4.9041243
