env,step,row,release_row,released,certified,k,gate_ok,can,contact,reward,r_adv,r_leash,r_bonus,r_act,r_soft,e_n_cm,e_xy_cm,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_tilt_deg,gap_mm,coverage,travel_cm,success,died,die_kind,cross_any,dq_re_deg,done,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky
3,3,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00020675681,0.0,-0.0,0.0,-0.00020675681,-0.0,0.25429595,0.44993338,0.0,0.0,0.0,0.0,1.0,0.8490367,-3.595207,0.12962963,0.50436825,0.0,0.0,0.0,0.0,0.0,0,1.4963673,3.189486,1.6180992,0.5399096,1.0193179,5.8666553,0.0,0.0,0.0,0.0
0,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016993763,0.0,-0.0,0.0,-0.00016993763,-0.0,0.22227076,0.45892048,0.0,0.0,0.0,0.0,1.0,2.1639225,-4.3180957,0.12962963,0.534512,0.0,0.0,0.0,0.0,0.0,0,4.908844,3.079555,1.722257,0.49796918,1.6726599,9.604251,0.0,0.0,4.3227577,0.0
1,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017201072,0.0,-0.0,0.0,-0.00017201072,-0.0,0.09886753,0.5552593,0.0,0.0,0.0,0.0,1.0,2.7624378,-3.038628,0.12037037,0.6726603,0.0,0.0,0.0,0.0,0.0,0,5.6999655,2.7279415,2.760717,0.017352706,2.4229453,7.8286386,0.0,0.0,5.819693,0.0
2,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016924241,0.0,-0.0,0.0,-0.00016924241,-0.0,0.094528124,0.5330069,0.0,0.0,0.0,0.0,1.0,2.6447127,-2.91463,0.125,0.58181214,0.0,0.0,0.0,0.0,0.0,0,5.861351,2.7143996,2.7434983,0.1301863,2.4425795,7.411224,0.0,0.0,6.5209627,0.0
3,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00017191368,0.0,-0.0,0.0,-0.00017191368,-0.0,0.22746734,0.4377421,0.0,0.0,0.0,0.0,1.0,2.7500093,-4.0103087,0.12962963,0.54689246,0.0,0.0,0.0,0.0,0.0,0,4.625407,3.2655084,2.042827,0.40445444,1.5038025,11.974629,0.0,0.0,6.1075716,0.0
0,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016335551,0.0,-0.0,0.0,-0.00016335551,-0.0,0.18300265,0.38748208,0.0,0.0,0.0,0.0,1.0,3.2496212,-2.4770815,0.12962963,0.6315029,0.0,0.0,0.0,0.0,0.0,0,6.871453,4.4710135,2.7595723,0.33043754,0.94296235,11.20973,0.0,0.0,3.1369805,0.0
1,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016964256,0.0,-0.0,0.0,-0.00016964256,-0.0,0.20387453,0.3980766,0.0,0.0,0.0,0.0,1.0,2.7862153,-3.78081,0.12037037,0.833337,0.0,0.0,0.0,0.0,0.0,0,6.6004643,3.7325442,2.163583,0.3479225,1.5647876,12.946599,0.0,0.0,0.0,0.0
2,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016596777,0.0,-0.0,0.0,-0.00016596777,-0.0,0.11335276,0.3851716,0.0,0.0,0.0,0.0,1.0,2.7058797,-4.7766304,0.125,0.73040444,0.0,0.0,0.0,0.0,0.0,0,6.106703,3.9039526,2.1571076,0.317854,1.1532806,10.654176,0.0,0.0,2.7714148,0.0
3,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00016401595,0.0,-0.0,0.0,-0.00016401595,-0.0,0.049847923,0.44529635,0.0,0.0,0.0,0.0,1.0,2.9847183,-5.110761,0.13425925,0.69467247,0.0,0.0,0.0,0.0,0.0,0,7.422188,3.8334527,2.25005,0.39682576,1.9948248,10.826529,0.0,0.0,1.9030379,0.0
0,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00013977825,0.0,-0.0,0.0,-0.00013977825,-0.0,0.07763244,0.42862156,0.0,0.0,0.0,0.0,1.0,2.4607654,-4.503559,0.12962963,0.67267346,0.0,0.0,0.0,0.0,0.0,0,8.074527,4.792042,2.5154731,0.40158707,1.5996126,9.921642,0.0,0.0,2.5171895,0.0
1,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015403242,0.0,-0.0,0.0,-0.00015403242,-0.0,0.04113037,0.43173102,0.0,0.0,0.0,0.0,1.0,2.823968,-3.775455,0.12037037,0.9600332,0.0,0.0,0.0,0.0,0.0,0,7.3043766,4.922122,2.673476,0.32258704,1.4457086,10.758199,0.0,0.0,2.913867,0.0
2,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00014134975,0.0,-0.0,0.0,-0.00014134975,-0.0,0.044444203,0.46780547,0.0,0.0,0.0,0.0,1.0,2.7052286,-4.263304,0.125,0.8531047,0.0,0.0,0.0,0.0,0.0,0,7.8861136,4.6933856,2.9540803,0.428344,1.3041908,10.521594,0.0,0.0,3.1575096,0.0
3,6,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001328518,0.0,-0.0,0.0,-0.0001328518,-0.0,0.06109625,0.42217755,0.0,0.0,0.0,0.0,1.0,2.829508,-3.9284136,0.13425925,0.73988914,0.0,0.0,0.0,0.0,0.0,0,8.258607,5.126833,3.2916307,0.45865813,1.1410617,13.366305,0.0,0.0,4.436628,0.0
