env,step,row,release_row,pinned,released,reward,r_contact,r_hold,r_bonus,r_act,r_cross,cross,cross_any,c_plate,c_sponge,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_ok,sponge_ok,cert,cert_run,new_cert,dropped,drop_plate,drop_sponge,new_drop,success,done,act_abs_mean,res_arm_max_rad,res_fin_max_rad,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky,gapL_idx_mid_cm,gapL_mid_ring_cm,gapL_ring_pinky_cm,d3L_idx_mid_cm,d3L_mid_ring_cm,d3L_ring_pinky_cm,gapR_idx_mid_cm,gapR_mid_ring_cm,gapR_ring_pinky_cm,d3R_idx_mid_cm,d3R_mid_ring_cm,d3R_ring_pinky_cm
0,0,1,48,1,0.0,-5.9501723e-05,0.0,0.0,0.0,-5.9501723e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19060645,0.0018249531,0.018731741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2561603,2.0628076,3.7759256,2.2608674,2.24422,4.1252203,2.1208725,3.315164,1.7454937,2.3701031,3.3362122,2.1565235
1,0,1,50,1,0.0,-5.9602407e-05,0.0,0.0,0.0,-5.9602407e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1907741,0.0018265669,0.018751636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2561285,2.062822,3.7758875,2.2608345,2.2442374,4.125194,2.1208599,3.3151143,1.7455697,2.370077,3.3361645,2.156618
2,0,1,49,1,0.0,-5.9535934e-05,0.0,0.0,0.0,-5.9535934e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19067484,0.0018252596,0.018740382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256153,2.0628057,3.7759266,2.2608614,2.244209,4.125222,2.1208584,3.3151479,1.7455413,2.3700776,3.3361983,2.156597
3,0,1,48,1,0.0,-5.9510432e-05,0.0,0.0,0.0,-5.9510432e-05,-0.0,0.0,0.0,0.0,0.0,0.017035007,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19061483,0.001825222,0.018732456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2561595,2.062808,3.7759333,2.2608674,2.2442105,4.125228,2.1208673,3.315162,1.7454766,2.370095,3.336209,2.1565137
0,1,2,48,1,0.0,0.033266496,0.033333335,0.0,0.0,-6.683847e-05,-0.0,0.0,0.0,0.33333334,0.0,0.013829773,0.06852804,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20219253,0.003646098,0.03850632,0.0,0.0,0.0,0.0,1.7591013,0.0,0.0,0.0,0.0,0.0,2.1870651,2.084307,3.726828,2.1901765,2.2637627,4.0945463,2.1244361,3.230247,1.8315778,2.3604176,3.2512743,2.243744
1,1,2,50,1,0.0,0.033266384,0.033333335,0.0,0.0,-6.6951274e-05,-0.0,0.0,0.0,0.33333334,0.0,0.01368763,0.06852804,0.017035007,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20234993,0.0036495328,0.038546667,0.0,0.0,0.0,0.0,1.780702,0.0,0.0,0.0,0.0,0.0,2.1869562,2.0843406,3.726659,2.1900625,2.2638054,4.0944037,2.124422,3.2301455,1.8317327,2.3603563,3.2511826,2.2439559
2,1,2,49,1,0.0,0.033266444,0.033333335,0.0,0.0,-6.689246e-05,-0.0,0.0,0.0,0.33333334,0.0,0.013557138,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20226629,0.0036472823,0.038524948,0.0,0.0,0.0,0.0,1.8088814,0.0,0.0,0.0,0.0,0.0,2.1870348,2.0843174,3.7266896,2.190144,2.2637718,4.094436,2.1244586,3.2301857,1.8316783,2.3604295,3.2512188,2.243882
3,1,2,48,1,0.0,0.033266496,0.033333335,0.0,0.0,-6.683896e-05,-0.0,0.0,0.0,0.33333334,0.0,0.013853607,0.055952907,0.01703501,0.03956468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20219424,0.003646365,0.03850698,0.0,0.0,0.0,0.0,1.7583102,0.0,0.0,0.0,0.0,0.0,2.1870456,2.0843122,3.7267997,2.190156,2.263772,4.0945225,2.124425,3.2302551,1.8315442,2.3604062,3.251281,2.2437017
0,2,3,48,1,0.0,0.21993919,0.22000001,0.0,0.0,-6.0830374e-05,-0.0,0.0,0.0,2.0,0.2,0.006726296,0.25022906,0.05852729,0.9337625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19709527,0.0053506214,0.056462623,2.0991423,1.4529026,0.53647316,0.0,3.862789,0.86315805,0.0,0.21930027,0.0,0.0,2.1134882,2.1239183,3.6782973,2.1159074,2.3030114,4.062033,2.1179378,3.1331792,1.9336939,2.3638134,3.1469874,2.348107
1,2,3,50,1,0.0,0.18660572,0.18666668,0.0,0.0,-6.095339e-05,-0.0,0.0,0.0,1.6666667,0.2,0.010186079,0.23069976,0.058188505,0.9553074,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19727546,0.005355914,0.056526266,2.4818385,1.8075615,0.33677927,0.0,3.3878613,0.89635825,0.0,0.24507879,0.0,0.0,2.111753,2.122322,3.6761894,2.1141703,2.3015573,4.0608115,2.1177895,3.1331353,1.9340187,2.3634787,3.1469817,2.348526
