env,step,row,release_row,pinned,released,reward,r_contact,r_hold,r_bonus,r_act,r_cross,cross,cross_any,c_plate,c_sponge,dp_plate_cm,dr_plate_deg,dp_sponge_cm,dr_sponge_deg,within,plate_ok,sponge_ok,cert,cert_run,new_cert,dropped,drop_plate,drop_sponge,new_drop,success,done,act_abs_mean,res_arm_max_rad,res_fin_max_rad,F_L_thumb,F_L_index,F_L_middle,F_L_ring,F_L_pinky,F_R_thumb,F_R_index,F_R_middle,F_R_ring,F_R_pinky,gapL_idx_mid_cm,gapL_mid_ring_cm,gapL_ring_pinky_cm,d3L_idx_mid_cm,d3L_mid_ring_cm,d3L_ring_pinky_cm,gapR_idx_mid_cm,gapR_mid_ring_cm,gapR_ring_pinky_cm,d3R_idx_mid_cm,d3R_mid_ring_cm,d3R_ring_pinky_cm
2,2,3,33,1,0.0,0.21994025,0.22000001,0.0,0.0,-5.976954e-05,-0.0,0.0,0.0,2.0,0.2,0.009283193,0.23069976,0.05755996,0.9462521,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19558416,0.005305836,0.055970933,2.333726,1.6768801,0.8646333,0.0,3.7293775,0.8592237,0.0,0.2282742,0.0,0.0,2.1101944,2.122895,3.6752708,2.1126118,2.3020954,4.0579176,2.118092,3.1347296,1.9312643,2.3628762,3.148769,2.344933
3,2,3,32,1,0.0,0.21994035,0.22000001,0.0,0.0,-5.9657432e-05,-0.0,0.0,0.0,2.0,0.2,0.0040490245,0.19382657,0.05555331,0.947905,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.19540794,0.0053027784,0.055932455,1.8332075,1.1891123,0.6594856,0.0,3.6371427,0.9283034,0.0,0.2537126,0.0,0.0,2.1154091,2.1235745,3.6786919,2.1178484,2.302525,4.059216,2.1178536,3.135059,1.931052,2.3633866,3.148957,2.3446548
0,3,4,31,1,0.0,0.2399552,0.24000001,0.0,0.0,-4.4807486e-05,-0.0,0.0,0.0,2.0,0.4,0.021072144,0.259443,0.083561786,1.0422908,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1733208,0.006584181,0.07014727,4.321582,2.6770833,2.9083126,0.0,5.1651535,2.1794014,0.0,0.346704,1.6263614,0.0,2.0258644,2.1854753,3.6294036,2.0278246,2.3673532,4.039802,2.1020637,3.068196,2.0041056,2.3825617,3.0756743,2.4533336
1,3,4,33,1,0.0,0.23995525,0.24000001,0.0,0.0,-4.475789e-05,-0.0,0.0,0.0,2.0,0.4,0.022718612,0.27976462,0.08378837,1.0294456,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17296538,0.0066026556,0.070222646,4.077702,3.108372,1.2169753,0.0,5.6436043,2.2246606,0.0,0.43496746,1.7057987,0.0,2.0420156,2.1838892,3.635284,2.044152,2.3649645,4.047359,2.1019473,3.0673325,2.0052717,2.3821232,3.075006,2.4561214
2,3,4,33,1,0.0,0.25995505,0.26,0.0,0.0,-4.4950993e-05,-0.0,0.0,0.0,2.0,0.6,0.019076854,0.26244244,0.073642984,1.0118077,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17355926,0.0065935557,0.070257865,4.5826964,2.961845,2.15316,0.0,5.285833,1.8752586,0.0,0.56739247,1.9079754,0.0,2.0243897,2.1854737,3.6284766,2.0263445,2.366968,4.03966,2.1013358,3.0669227,2.0062938,2.3839095,3.0742314,2.456059
3,3,4,32,1,0.0,0.23995502,0.24000001,0.0,0.0,-4.4993314e-05,-0.0,0.0,0.0,2.0,0.4,0.019554872,0.3494259,0.07964474,0.9811752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.173459,0.0066021243,0.07018408,3.347656,2.4748383,1.4063113,0.0,5.413689,1.9717331,0.0,0.47423682,1.7223026,0.0,2.0525825,2.1729403,3.631673,2.0540543,2.3575919,4.040224,2.1018476,3.0663757,2.0062425,2.3820999,3.073947,2.4557993
0,4,5,31,1,0.0,0.25996047,0.26,0.0,0.0,-3.9526945e-05,-0.0,0.0,0.0,2.0,0.6,0.020098323,0.35827357,0.09501415,0.813727,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.16400683,0.007751736,0.082754955,4.616099,2.6137402,5.0821724,0.0,4.2455626,5.257912,0.0,1.3135313,3.3255067,0.0,1.9729979,2.2246246,3.5776143,1.9748924,2.417126,4.010191,2.0697415,3.0460813,2.0501204,2.3630955,3.055017,2.5953994
1,4,5,33,1,0.0,0.2599622,0.26,0.0,0.0,-3.7774702e-05,-0.0,0.0,0.0,2.0,0.6,0.01963802,0.2017411,0.098082885,0.85133237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.16086498,0.007698917,0.08272374,7.2238503,4.70882,3.3585489,0.0,5.257896,5.8347077,0.0,2.5907207,5.6863165,0.0,1.9777682,2.236245,3.5876293,1.9807206,2.4218183,4.025929,2.066999,3.0503466,2.0478635,2.3612359,3.0591984,2.5926015
2,4,5,33,1,0.0,0.25996125,0.26,0.0,0.0,-3.8736205e-05,-0.0,0.0,0.0,2.0,0.6,0.013858368,0.17693864,0.10237978,0.78633404,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1624907,0.0077352193,0.08272322,5.593702,3.44113,4.3655224,0.0,5.3680625,4.2751894,0.0,1.1242198,2.8805583,0.0,1.9532197,2.240926,3.5829291,1.9559532,2.42965,4.0179467,2.0700433,3.0400403,2.053944,2.3684258,3.04911,2.5968323
3,4,5,32,1,0.0,0.25996158,0.26,0.0,0.0,-3.841227e-05,-0.0,0.0,0.0,2.0,0.6,0.041636474,0.3896671,0.10777458,0.8232894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.16218983,0.0077175503,0.082799606,5.227554,4.386255,2.3943415,0.0,6.562456,4.4113727,0.0,1.2649813,3.257055,0.0,1.9740567,2.2319536,3.5867517,1.9757818,2.4188547,4.02772,2.074372,3.0306473,2.0586147,2.3657866,3.0404665,2.6031706
